Country Name,Year,GDP (current US$),Net migration,"Population, total",Urban population (% of total population),Urban population growth (annual %),Sea Level (mm)
Bangladesh,1975,19448348073.4565,-390212.0,77854351.0,9.836,11.127637312929,-53.05465
Bangladesh,1976,10117113333.3333,-424970.0,79855318.0,10.701,10.9664801351212,-83.62342000000001
Bangladesh,1977,9651149301.8746,-458491.0,81867264.0,11.63,10.8133474586855,-88.31110000000001
Bangladesh,1978,13281767142.8571,-486721.0,83889655.0,12.629,10.681091415763,-62.64034
Bangladesh,1979,15565480321.9448,-507354.0,85935072.0,13.701,10.5562733651834,-76.96167
Bangladesh,1980,18138049095.6072,-515918.0,88016432.0,14.851,10.4529864163851,-65.645166
Bangladesh,1981,20249694002.448,-184884.0,90303105.0,15.801,8.76543977723244,-35.82126599999999
Bangladesh,1982,18525399201.5968,-156729.0,92814507.0,16.212,5.31095691484391,-111.306086
Bangladesh,1983,17609048821.5488,-201909.0,95335155.0,16.631,5.23124074183937,-76.89498
Bangladesh,1984,18920840000.0,-245693.0,97814966.0,17.06,5.11470445125715,-18.131262
Bangladesh,1985,22278423076.9231,-287872.0,100253825.0,17.496,4.98633687696953,-44.533517
Bangladesh,1986,21774033333.3333,-331992.0,102635572.0,17.941,4.85956854405228,-67.75179
Bangladesh,1987,24298032258.0645,-367475.0,104959291.0,18.395,4.73783043266168,-84.36294
Bangladesh,1988,26579005558.3652,-395408.0,107216008.0,18.859,4.61843413554954,-25.20204
Bangladesh,1989,28781715188.8919,-406910.0,109433799.0,19.33,4.51422460023934,-25.369605
Bangladesh,1990,31598340778.2164,-404105.0,111633717.0,19.811,4.44824137511541,-54.2849
Bangladesh,1991,30957483949.5798,-230852.0,113787109.0,20.257,4.13691830720748,-78.81702
Bangladesh,1992,31708874594.1645,-246914.0,115952192.0,20.61,3.61247079611315,-50.91840999999999
Bangladesh,1993,33166519417.9894,-271677.0,118132360.0,20.966,3.5753412328971,-54.58699
Bangladesh,1994,33768660882.793,-206958.0,120343179.0,21.328,3.56604562108603,-78.024246
